Customer ID,Age,Gender,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,age_group,generation,purchase_tier,loyalty_tier,freq_order,frequency_category,customer_value_score,value_segment,promo_engagement,seasonal_spend_index,rating_flag,rating_category,is_subscriber,used_discount
23,56,Male,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,56-70,Gen X (45-60),Mid ($31-$60),Loyal (26-50),7,Low Frequency (Quarterly-Annually),0.306,Low Value,Engaged Subscriber,58.41,Rated,Average (3.0-3.9),1,1
24,31,Male,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,26-35,Millennial (29-44),Luxury ($81-$100),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.869,High Value,Engaged Subscriber,60.36,Rated,Good (4.0-4.4),1,1
25,18,Male,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,18-25,Gen Z (18-28),Budget (<=$30),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.367,Low Value,Engaged Subscriber,61.56,Rated,Poor (2.5-2.9),1,1
26,18,Male,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,18-25,Gen Z (18-28),Budget (<=$30),Regular (11-25),7,Low Frequency (Quarterly-Annually),0.118,Low Value,Engaged Subscriber,58.41,Rated,Average (3.0-3.9),1,1
27,38,Male,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,36-45,Millennial (29-44),Budget (<=$30),Regular (11-25),7,Low Frequency (Quarterly-Annually),0.086,Low Value,Engaged Subscriber,58.74,Rated,Average (3.0-3.9),1,1
28,56,Male,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,56-70,Gen X (45-60),Mid ($31-$60),Developing (6-10),5,Medium Frequency (Monthly-Quarterly),0.306,Low Value,Engaged Subscriber,58.41,Rated,Excellent (4.5-5.0),1,1
29,54,Male,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,46-55,Gen X (45-60),Luxury ($81-$100),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.739,High Value,Engaged Subscriber,61.56,Rated,Good (4.0-4.4),1,1
30,31,Male,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,26-35,Millennial (29-44),Mid ($31-$60),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.483,Medium Value,Engaged Subscriber,61.56,Rated,Good (4.0-4.4),1,1
31,57,Male,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,56-70,Gen X (45-60),Mid ($31-$60),Regular (11-25),4,Medium Frequency (Monthly-Quarterly),0.287,Low Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
32,33,Male,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,26-35,Millennial (29-44),Premium ($61-$80),Loyal (26-50),4,Medium Frequency (Monthly-Quarterly),0.734,High Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
33,36,Male,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,36-45,Millennial (29-44),Premium ($61-$80),Loyal (26-50),7,Low Frequency (Quarterly-Annually),0.492,Medium Value,Engaged Subscriber,58.41,Rated,Excellent (4.5-5.0),1,1
34,54,Male,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),6,Low Frequency (Quarterly-Annually),0.446,Medium Value,Engaged Subscriber,58.41,Rated,Average (3.0-3.9),1,1
35,36,Male,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,36-45,Millennial (29-44),Luxury ($81-$100),Loyal (26-50),6,Low Frequency (Quarterly-Annually),0.661,High Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
36,54,Male,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.567,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
37,35,Male,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,26-35,Millennial (29-44),Premium ($61-$80),Loyal (26-50),2,High Frequency (Weekly-Bi-Weekly),0.76,High Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
38,35,Male,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,26-35,Millennial (29-44),Mid ($31-$60),Developing (6-10),1,High Frequency (Weekly-Bi-Weekly),0.439,Medium Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
39,29,Male,Clothing,37,Florida,M,Red,Winter,,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,26-35,Millennial (29-44),Mid ($31-$60),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.475,Medium Value,Engaged Subscriber,60.36,No Rating,Not Rated,1,1
40,70,Male,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,56-70,Boomer (61-70),Mid ($31-$60),Regular (11-25),4,Medium Frequency (Monthly-Quarterly),0.446,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
41,69,Male,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,56-70,Boomer (61-70),Premium ($61-$80),Loyal (26-50),6,Low Frequency (Quarterly-Annually),0.536,Medium Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
42,67,Male,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,56-70,Boomer (61-70),Mid ($31-$60),Loyal (26-50),7,Low Frequency (Quarterly-Annually),0.374,Low Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
43,20,Male,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,18-25,Gen Z (18-28),Luxury ($81-$100),Regular (11-25),7,Low Frequency (Quarterly-Annually),0.5,Medium Value,Engaged Subscriber,58.74,Rated,Good (4.0-4.4),1,1
44,25,Male,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,18-25,Gen Z (18-28),Premium ($61-$80),Regular (11-25),2,High Frequency (Weekly-Bi-Weekly),0.582,Medium Value,Engaged Subscriber,61.56,Rated,Average (3.0-3.9),1,1
45,39,Male,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,36-45,Millennial (29-44),Mid ($31-$60),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.729,High Value,Engaged Subscriber,58.41,Rated,Excellent (4.5-5.0),1,1
46,50,Male,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,46-55,Gen X (45-60),Budget (<=$30),Regular (11-25),7,Low Frequency (Quarterly-Annually),0.176,Low Value,Engaged Subscriber,61.56,Rated,Poor (2.5-2.9),1,1
47,57,Male,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,56-70,Gen X (45-60),Mid ($31-$60),Loyal (26-50),6,Low Frequency (Quarterly-Annually),0.471,Medium Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
48,55,Male,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.67,High Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
49,42,Male,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,36-45,Millennial (29-44),Mid ($31-$60),Loyal (26-50),4,Medium Frequency (Monthly-Quarterly),0.564,Medium Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
50,68,Male,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,56-70,Boomer (61-70),Budget (<=$30),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.452,Medium Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
51,49,Male,Clothing,28,Maryland,M,Red,Spring,,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,46-55,Gen X (45-60),Budget (<=$30),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.478,Medium Value,Engaged Subscriber,58.74,No Rating,Not Rated,1,1
52,59,Male,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,56-70,Gen X (45-60),Mid ($31-$60),Developing (6-10),6,Low Frequency (Quarterly-Annually),0.28,Low Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
53,42,Male,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,36-45,Millennial (29-44),Budget (<=$30),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.429,Medium Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
54,29,Male,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,26-35,Millennial (29-44),Budget (<=$30),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.513,Medium Value,Engaged Subscriber,60.36,Rated,Average (3.0-3.9),1,1
55,47,Male,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,46-55,Gen X (45-60),Luxury ($81-$100),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.78,High Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
56,40,Male,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,36-45,Millennial (29-44),Budget (<=$30),Loyal (26-50),7,Low Frequency (Quarterly-Annually),0.383,Low Value,Engaged Subscriber,60.36,Rated,Average (3.0-3.9),1,1
57,41,Male,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,36-45,Millennial (29-44),Premium ($61-$80),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.836,High Value,Engaged Subscriber,58.41,Rated,Excellent (4.5-5.0),1,1
58,21,Male,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,18-25,Gen Z (18-28),Premium ($61-$80),Regular (11-25),2,High Frequency (Weekly-Bi-Weekly),0.543,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
59,69,Male,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,56-70,Boomer (61-70),Mid ($31-$60),Loyal (26-50),4,Medium Frequency (Monthly-Quarterly),0.495,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
60,63,Male,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,56-70,Boomer (61-70),Premium ($61-$80),New (1-5),1,High Frequency (Weekly-Bi-Weekly),0.566,Medium Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
61,50,Male,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,46-55,Gen X (45-60),Mid ($31-$60),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.449,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
62,55,Male,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,46-55,Gen X (45-60),Premium ($61-$80),Regular (11-25),5,Medium Frequency (Monthly-Quarterly),0.466,Medium Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
63,30,Male,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,26-35,Millennial (29-44),Budget (<=$30),Loyal (26-50),2,High Frequency (Weekly-Bi-Weekly),0.428,Medium Value,Engaged Subscriber,58.74,Rated,Average (3.0-3.9),1,1
64,33,Male,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,26-35,Millennial (29-44),Premium ($61-$80),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.845,High Value,Engaged Subscriber,60.36,Rated,Poor (2.5-2.9),1,1
65,65,Male,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,56-70,Boomer (61-70),Luxury ($81-$100),Regular (11-25),2,High Frequency (Weekly-Bi-Weekly),0.645,Medium Value,Engaged Subscriber,61.56,Rated,Excellent (4.5-5.0),1,1
66,65,Male,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,56-70,Boomer (61-70),Mid ($31-$60),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.47,Medium Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
67,31,Male,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,26-35,Millennial (29-44),Luxury ($81-$100),New (1-5),5,Medium Frequency (Monthly-Quarterly),0.468,Medium Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
68,45,Male,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,36-45,Gen X (45-60),Mid ($31-$60),Loyal (26-50),4,Medium Frequency (Monthly-Quarterly),0.533,Medium Value,Engaged Subscriber,60.36,Rated,Good (4.0-4.4),1,1
69,57,Male,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,56-70,Gen X (45-60),Mid ($31-$60),Regular (11-25),5,Medium Frequency (Monthly-Quarterly),0.356,Low Value,Engaged Subscriber,58.41,Rated,Average (3.0-3.9),1,1
70,48,Male,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,46-55,Gen X (45-60),Premium ($61-$80),New (1-5),1,High Frequency (Weekly-Bi-Weekly),0.529,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
71,22,Male,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,18-25,Gen Z (18-28),Budget (<=$30),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.35,Low Value,Engaged Subscriber,61.56,Rated,Good (4.0-4.4),1,1
72,36,Male,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,36-45,Millennial (29-44),Mid ($31-$60),Loyal (26-50),7,Low Frequency (Quarterly-Annually),0.376,Low Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
73,18,Male,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,18-25,Gen Z (18-28),Budget (<=$30),Regular (11-25),5,Medium Frequency (Monthly-Quarterly),0.256,Low Value,Engaged Subscriber,60.36,Rated,Poor (2.5-2.9),1,1
74,48,Male,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,46-55,Gen X (45-60),Luxury ($81-$100),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.792,High Value,Engaged Subscriber,58.74,Rated,Poor (2.5-2.9),1,1
75,49,Male,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,46-55,Gen X (45-60),Mid ($31-$60),New (1-5),4,Medium Frequency (Monthly-Quarterly),0.329,Low Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
76,64,Male,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,56-70,Boomer (61-70),Luxury ($81-$100),Regular (11-25),7,Low Frequency (Quarterly-Annually),0.468,Medium Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
77,50,Male,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),4,Medium Frequency (Monthly-Quarterly),0.461,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
78,22,Male,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,18-25,Gen Z (18-28),Mid ($31-$60),Loyal (26-50),2,High Frequency (Weekly-Bi-Weekly),0.623,Medium Value,Engaged Subscriber,58.41,Rated,Average (3.0-3.9),1,1
79,50,Male,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,46-55,Gen X (45-60),Luxury ($81-$100),Loyal (26-50),2,High Frequency (Weekly-Bi-Weekly),0.913,High Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
80,38,Male,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,36-45,Millennial (29-44),Luxury ($81-$100),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.763,High Value,Engaged Subscriber,60.36,Rated,Poor (2.5-2.9),1,1
81,19,Male,Footwear,72,New York,XL,Blue,Summer,,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,18-25,Gen Z (18-28),Premium ($61-$80),Regular (11-25),5,Medium Frequency (Monthly-Quarterly),0.508,Medium Value,Engaged Subscriber,58.41,No Rating,Not Rated,1,1
82,67,Male,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,56-70,Boomer (61-70),Luxury ($81-$100),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.713,High Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
83,19,Male,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,18-25,Gen Z (18-28),Budget (<=$30),Regular (11-25),5,Medium Frequency (Monthly-Quarterly),0.266,Low Value,Engaged Subscriber,58.74,Rated,Good (4.0-4.4),1,1
84,36,Male,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,36-45,Millennial (29-44),Mid ($31-$60),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.586,Medium Value,Engaged Subscriber,58.41,Rated,Good (4.0-4.4),1,1
85,52,Male,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.436,Medium Value,Engaged Subscriber,58.74,Rated,Good (4.0-4.4),1,1
86,53,Male,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,46-55,Gen X (45-60),Luxury ($81-$100),New (1-5),3,High Frequency (Weekly-Bi-Weekly),0.549,Medium Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
